Fecha,Categoria,Producto,ID,Precio_ARS,Precio_USD,Dolar_ARS
2026-03-03,Helados,1/4 kg de Helado,891563,9000.0,6.27,1435.0
2026-03-03,Helados,1/2 kg de Helado,891564,15000.0,10.45,1435.0
2026-03-03,Helados,1 kg de Helado,891566,25000.0,17.42,1435.0
2026-03-03,Helados,Cucurucho,983077,800.0,0.56,1435.0
2026-03-03,Helados,Vaso Polipapel,1014444,400.0,0.28,1435.0
2026-03-03,Helados,Vaso Pasta,1014445,400.0,0.28,1435.0
2026-03-03,Franuí,Pote Franuí FREE,1005021,7300.0,5.09,1435.0
2026-03-03,Franuí,Dúo FREE,1005204,14600.0,10.17,1435.0
2026-03-03,Franuí,Dúo Franuí FREE + LECHE,1005205,14600.0,10.17,1435.0
2026-03-03,Franuí,Duo Franuí FREE + AMARGO,1005206,14600.0,10.17,1435.0
2026-03-03,Franuí,Duo Franui FREE + PINK,1005207,14600.0,10.17,1435.0
2026-03-03,Franuí,"Team Franui (Leche, Amargo, Pink y Free)",1005208,29200.0,20.35,1435.0
2026-03-03,Franuí,Pote Franuí LECHE,891526,7300.0,5.09,1435.0
2026-03-03,Franuí,Pote Franuí AMARGO,891527,7300.0,5.09,1435.0
2026-03-03,Franuí,Pote Franuí PINK,918847,7300.0,5.09,1435.0
2026-03-03,Franuí,Dúo Franuí PINK,918849,14600.0,10.17,1435.0
2026-03-03,Franuí,Trío Franuí,918850,21900.0,15.26,1435.0
2026-03-03,Pascuas,Conejo Orejón Leche 40 grs.,970138,4000.0,2.79,1435.0
2026-03-03,Pascuas,Conejo Orejón Blanco 40 grs.,970139,4000.0,2.79,1435.0
2026-03-03,Pascuas,Conejo Orejón Amargo 40 grs.,970140,4000.0,2.79,1435.0
2026-03-03,Pascuas,Duo Conejo Orejón Leche + Blanco,970153,8000.0,5.57,1435.0
2026-03-03,Pascuas,Duo Conejo Orejón Amargo + Blanco,970154,8000.0,5.57,1435.0
2026-03-03,Pascuas,Trio Conejo Orejón,970155,12000.0,8.36,1435.0
2026-03-03,Pascuas,Huevo Animal print 360 grs.,971338,51000.0,35.54,1435.0
2026-03-03,Pascuas,Huevo Nuicciola 60 grs.,971340,8000.0,5.57,1435.0
2026-03-03,Pascuas,Huevo Marroc 60 grs.,971341,8000.0,5.57,1435.0
2026-03-03,Pascuas,Caja conejos Panzones rellenos,971342,6000.0,4.18,1435.0
2026-03-03,Pascuas,Lapiz Minihuevo nuicciola x 5,971344,4500.0,3.14,1435.0
2026-03-03,Pascuas,Lapiz Minihuevo hueco leche x 18,971345,9000.0,6.27,1435.0
2026-03-03,Pascuas,Lapiz Minihuevo hueco blanco x 18,971346,9000.0,6.27,1435.0
2026-03-03,Pascuas,Bolsa Minihuevos Choco Leche 125 Grs.,971347,12500.0,8.71,1435.0
2026-03-03,Pascuas,Conejo panzon chico leche 25 grs.,971348,4500.0,3.14,1435.0
2026-03-03,Pascuas,Conejo Panzon grande leche 130 grs.,971349,16500.0,11.5,1435.0
2026-03-03,Pascuas,Conejo con huevo mediano leche 150 grs.,971350,22000.0,15.33,1435.0
2026-03-03,Pascuas,Conejo con huevo mediano amargo 150 grs.,971351,22000.0,15.33,1435.0
2026-03-03,Pascuas,Conejo con huevo grande leche 220 grs.,971352,28500.0,19.86,1435.0
2026-03-03,Pascuas,Gallina con 6 huevos 90 grs.,971353,10500.0,7.32,1435.0
2026-03-03,Pascuas,Rosca de pascuas Pistacho,971356,22500.0,15.68,1435.0
2026-03-03,Pascuas,Conejo con huevo chico leche 40 gr,971397,6500.0,4.53,1435.0
2026-03-03,Pascuas,Huevo Mini Pistacho 60 gr,1017846,9000.0,6.27,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ FREE+ 1/4 de helado,1005199,16300.0,11.36,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ FREE + 1/2 kg de Helado,1005203,22300.0,15.54,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ LECHE + 1/4 kg de helado,891534,16300.0,11.36,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ AMARGO + 1/4 kg de helado,910592,16300.0,11.36,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ PINK + 1/4 kg de Helado,919291,16300.0,11.36,1435.0
2026-03-03,Rapa-Dúos,PAILA NUICCIOLATO + 1/4 kg de Helado,910594,17000.0,11.85,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ LECHE + 1/2 kg de Helado,891533,22300.0,15.54,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ AMARGO + 1/2 kg de helado,1005201,22300.0,15.54,1435.0
2026-03-03,Rapa-Dúos,Pote FRANUÍ PINK + 1/2 kg de Helado,919292,22300.0,15.54,1435.0
2026-03-03,Pailas & Garrapiñadas,Almendras bañadas en chocolate leche,891512,7000.0,4.88,1435.0
2026-03-03,Pailas & Garrapiñadas,Almendras bañadas en chocolate semiamargo,891513,7000.0,4.88,1435.0
2026-03-03,Pailas & Garrapiñadas,Avellanas bañadas en chocolate leche,891514,7000.0,4.88,1435.0
2026-03-03,Pailas & Garrapiñadas,Cranberries bañados en chocolate blanco y amargo,891515,7000.0,4.88,1435.0
2026-03-03,Pailas & Garrapiñadas,Maní bañado en chocolate leche,891516,7000.0,4.88,1435.0
2026-03-03,Pailas & Garrapiñadas,Paila Nuicciolato,891518,8000.0,5.57,1435.0
2026-03-03,Pailas & Garrapiñadas,Garrapiñada de almendras sal y caramelo,891520,8000.0,5.57,1435.0
2026-03-03,Pailas & Garrapiñadas,Garrapiñada de almendras,891521,5500.0,3.83,1435.0
2026-03-03,Pailas & Garrapiñadas,Garrapiñada de avellanas,891522,5500.0,3.83,1435.0
2026-03-03,Pailas & Garrapiñadas,Garrapiñada de castañas de cajú,891523,5500.0,3.83,1435.0
2026-03-03,Pailas & Garrapiñadas,Garrapiñada de nueces pecan,891524,5500.0,3.83,1435.0
2026-03-03,Línea Pistacho & Dubái,Crema de Pistachos,979924,31000.0,21.6,1435.0
2026-03-03,Línea Pistacho & Dubái,Tableta Pistachos,891549,7500.0,5.23,1435.0
2026-03-03,Línea Pistacho & Dubái,Praliné Pistachos Caramelizados,909843,6000.0,4.18,1435.0
2026-03-03,Línea Pistacho & Dubái,Dúo Pistacho Lovers,891537,15500.0,10.8,1435.0
2026-03-03,Línea Pistacho & Dubái,Paila Pistachos Bañados,891519,8000.0,5.57,1435.0
2026-03-03,Línea Pistacho & Dubái,Garrapiñada de pistachos,891525,7500.0,5.23,1435.0
2026-03-03,Línea Marroc & Nuicciolato,Crema Marroc,891504,12500.0,8.71,1435.0
2026-03-03,Línea Marroc & Nuicciolato,Barrita marroc 50 grs,891505,4200.0,2.93,1435.0
2026-03-03,Línea Marroc & Nuicciolato,Barrita marroc 100 grs,891506,7000.0,4.88,1435.0
2026-03-03,Línea Marroc & Nuicciolato,Barrita marroc crocante 50 grs,891507,4200.0,2.93,1435.0
2026-03-03,Línea Marroc & Nuicciolato,Caja marroc crocante 275 grs,891508,19000.0,13.24,1435.0
